"Id","info1","info2"
777,"北京-海淀区  |  3-4年经验  |  本科  |  招1人  |  11-02发布  |  英语精通","一、职位描述1、负责云计算后台产品的研发与管理；2、负责研究云平台架构，新技术，docker, k8s, mesos的研究；3、负责云计算产品的后台管理系统研发；4、和产品团队合作进行性能分析和架构优化，引入业界新技术改进云平台产品。二、职位需求1、本科及以上学历，计算机、软件工程、信息技术、或其他相关专业毕业；2、熟练掌握Linux/Unix平台上的至少一种语言的开发；3、有较好的英语读写能力，能够阅读英文技术文档；4、有较强的学习能力和团队合作精神；5、从事云计算行业研发者优先；6、诚实、踏实、积极主动、抗压能力强，喜欢挑战困难。7、 后端技术： Go, C++,  Node.js，Python,  PHP, ,  JAVA， SDN  Virtualization,  Docker Container, 云计算, CDN, CloudFoundry, Mesos, Kubernetes."
778,"北京-海淀区  |  5-7年经验  |  本科  |  招2人  |  11-02发布","时速云的创始团队来自IBM 、CDL和阿里巴巴，团队成员均来自于IBM，VMWare，Oracle，F5，阿里云，百度等***企业。 不仅拥有大规模、企业级云平台开发、运维和管理的经验，更有丰富的产品商业化经验。团队融合了互联网的“自由开放”和传统IT的“严谨认真”这两种文化。我们专注于技术实践、勇于迎接业务挑战。 欢迎有志于加盟创业公司，拥抱云计算大数据趋势，挑战企业级容器云平台的有识之士共创事业。我们崇尚极客似的工程师文化，信仰自由的个人主义能最大发挥自我价值。互联网生态正在改变世界，而互联网的基石是云计算，我们承载的是亿万互联网用户的梦想，So amazing... ，加入时速云，让我们一起用技术的力量改变世界！一、职位描述：1、负责时速云平台整体功能，系统，集成等测试；2、编写测试文档和测试用例；3、搭建项目测试环境、更新测试软件，部署测试系统；4、协助改进优化用户体验；二、任职资格：1、计算机或相关专业本科及以上学历；2、具备3年以上软件测试工作经验；相关的行业背景；3、熟悉软件测试基本理论，掌握常用测试工具、软件测试流程及其各项规范；4、具有linux环境下程序的开发或者测试经验者优先;5、深入理解linux操作系统、体系结构，熟悉Shell/Perl/Python等语言中的一种或多种优先；6、了解cloudStack或openstack，熟练掌握其中一种的安装、部署和功能者优先；7、 熟练使用性能测试工具，能够熟练使用loadrunner等性能测试工具者优先；8、 熟悉网络及网络安全技术，对网络设备及防火墙有较深入理解者优先；9、 熟悉云计算、虚拟化技术，有实际操作kvm虚拟化经验者优先；10、 具有强烈的责任心、主动性和团队协作意识，具有较强学习和创新能力。"
779,"北京-海淀区  |  3-4年经验  |  本科  |  招若干人  |  11-01发布  |  计算机科学与技术 软件工程","岗位要求1. 全日制大学本科以上计算机或相关专业毕业；2. 工作经验：3-4年工作经验，2年（含）以上金融行业相关运维经验，一年以上服务台工作经验； 3. 具备网络、应用、系统、架构等基础的计算机知识，具备软件维护和技术支持能力；熟练使用linux、windows操作系统，能够独立进行故障排查解决；4. 熟练使用常用运维命令与运维自动化工具，如ansible、saltstack、puppet等；5. 熟练使用shell、python/perl/lua、js等语言进行编程；6. 善于沟通，面对问题有清晰的梳理思路，能够承担压力；7. 极强的执行力，同时具备良好的服务意识，较强的客户同理心；8. 有较强责任心，工作细致谨慎认真； 具有良好的团队合作精神。工作职责1. 维护自动化运维平台，并对日常版本变更中出现的问题进行梳理和解决；2. 维护行内应用组件，对组件性能进行调优，如nginx、tomcat、zookeeper、kafka等；3. 负责各应用系统支持与问题排查，对网络问题能进行初步判断；4. 通过python或js编写自动化平台服务；5. 负责服务请求受理，跟踪解决；6. 参与实施行内各运行系统的应急演练；7. 工作日报整理；8. 对工作中出现的问题提出优化改进方案。      如果您正直、进取、包容；有高效的学习专研能力、良好的创新思考能力、秋风扫落叶般的执行能力；您就是我们寻找的伙伴！我们邀请勤恳、诚信的你加入我们这个团队！我们自信会为你提供一个快乐的工作环境，为你提供武汉地区IT行业具备竞争力的薪资待遇，让你的职业价值与公司价值共同成长。有意者可在线投递简历或简历可直接发送到邮箱：1653455867@qq.com北京（总部）北京市海淀区学院路40号武汉（分部）（430000）武汉关山大道光谷软件园四期 "
780,"北京  |  无工作经验  |  硕士  |  招若干人  |  11-01发布","  1、负责自动驾驶定位算法的设计和研发；  2、负责定位算法的工程化和优化，保证算法研究落到实处；  3、负责相应文档、专利以及软件著作权的撰写      1、硕士及以上学历  2、熟练掌握c/c++/python  3、要求有导航定位/视觉定位/激光定位/融合定位的相关经验或从业经历  4、在自动驾驶/无人机等方面有经验者优先  5、熟悉linux平台■我们的福利1、丰厚的薪资奖金，核心岗位期权奖励+提供北京/天津/上海市户口指标2、完善的七险一金3、弹性工作制、免费工作餐及下午茶4、丰富的团队活动及员工关怀活动5、和善的老板及轻松的工作氛围6、地处北京中关村核心区，交通便利7、实习生/应届生由资深工程师“一对一”带领指导，并对优秀者提供转正机会  "
781,"北京  |  无工作经验  |  硕士  |  招若干人  |  11-01发布","  1、负责自动驾驶相关的三维点云算法的研究  2、负责点云算法的工程化和优化，保证算法研究落到实处  3、负责相应文档、专利以及软件著作权的撰写      1、硕士及以上学历，研究方向围绕三维点云相关领域展开  2、有点云slam/三维点云分类及检测/高精地图拼接/点云数据处理相关经验  3、熟练掌握c/c++/python/matlab，以及pcl/opengl等库  4、具有较强的工程经验，能够将算法实现并工程化  5、有国际期刊和会议论文发表者优先■我们的福利1、丰厚的薪资奖金，核心岗位期权奖励+提供北京/天津/上海市户口指标2、完善的七险一金3、弹性工作制、免费工作餐及下午茶4、丰富的团队活动及员工关怀活动5、和善的老板及轻松的工作氛围6、地处北京中关村核心区，交通便利7、实习生/应届生由资深工程师“一对一”带领指导，并对优秀者提供转正机会  "
782,"北京  |  无工作经验  |  硕士  |  招若干人  |  11-01发布","岗位职责：负责自动驾驶算法的嵌入式移植与产品落地，配合算法开发人员进行优化； 任职要求：1、计算机科学、自动化、电子工程或相关专业2、 熟悉Linux常用操作，具有扎实的C/C++/Python编程功底，对结构算法、代码运行效率、性能等有较好的把握3、熟悉嵌入式平台算法移植优化和并行算法设计 加分项：1、熟悉基本图像处理算法、熟悉OpenCV等开源工具2、 有X86、ARM或其他CPU体系结构性能调优经验，熟悉AVX或NEON等指令集3、熟悉Nvidia/QualCommAdreno/ARMMali等GPU体系结构调优经验，有CUDA或OpenCL在GPU上的编程经历■我们的福利1、丰厚的薪资奖金，核心岗位期权奖励+提供北京/天津/上海市户口指标2、完善的七险一金（法定五险+补充医疗+意外险+公积金）3、弹性工作制、免费下午茶、丰富的团队活动及员工关怀活动4、人性化的福利保障制度，节假日补贴多多5、和善的老板及轻松的工作氛围6、地处北京中关村核心区，交通便利，办公环境高大上7、实习生/应届生由资深工程师“一对一”带领指导，并对优秀者提供转正机会"
783,"北京-海淀区  |  无工作经验  |  招1人  |  11-01发布","1、编写运维工具，满足产品日常数据统计及展现的需求；2、参与管理大量自有PC端和手机终端的应用部署、日常运维工作；3、负责业务系统的应用级别维护。内容包括：应用异常维护，系统日常更新、部署等；4、整理编写运维工作需要的技术文档。任职要求：1、本科及以上学历，1-3年以上实际运维工作经验，有创业公司或者IT大公司工作经验优先，有信息安全或互联网门户网站工作经验优先；2、熟悉使用shell，python等脚本语言中的一种，并具备一定的开发能力，能够进行简单的运维工具开发；3、熟练使用Docker，了解K8S等管控平台；4、了解zabbix、nagois等监控系统的搭建和维护，能够开发自定义脚本；5、了解Nginx/Apache/Tomcat等Web应用服务器其中一种的部署、优化；6、了解MySQL、redis、mongodb等数据库其中一种，相关集群部署，监控，优化；7、了解自动化配置工具，如ansible、saltstack、puppet等其中的一种；"
784,"北京-海淀区  |  无工作经验  |  招2人  |  11-01发布","1、工程化可落地的实现大规模分布系统高并发和海量请求的区块链共识算法，以及数据一致性问题；2、搭建满足业务应用场景的区块链共识算法系统；3、与公司内其他部门组织合作，平滑完成共识算法在业务系统中的运行和整合。 任职要求：1、硕士及硕士以上学历，计算机相关或者数学相关专业；2、有成熟的区块链或者机器学习应用经验；3、精通JAVA、Python、C/C++、GO语言中的其中一种，优先考虑Python和Go语言；4、熟悉POW、DPOS、FBT、DAG等共识算法原理和实现；5、熟悉常用分布式算法Paxos、Raft等原理与实现；6、熟悉掌握Hadoop、Spark、Strom等分布式集群运算的方法；7、熟悉各种常用数据结构和算法，对密码学，安全协议和加密算法有研究；8、熟练掌握算法模型评估技能，能够正确客观地对模型效果进行评估以改进模型以及优化参数；9、具备良好的分析和解决问题的能力，具备一定的钻研精神和持续学习的意愿，强烈的责任感和团队感，对负有挑战性的工作充满热情；"
785,"北京-海淀区  |  无工作经验  |  招2人  |  11-01发布","职位描述：1.负责公司云服务器的运维2.负责公司基础组件的运维3.负责公司devops系统的开发岗位要求：1.有过大型互联网公司运维基础架构经验并承担重要角色；2.熟练使用Python，熟悉Shell;3.熟悉Linux，熟悉计算机网络、对Linux调优有一定了解；5.熟悉zabbix等监控工具，熟悉ELK日志处理系统；加分项：Nginx，分布式系统、大规模分布式存储薪资福利：1、持续股票期权激励，为未来留有充足的空间。2、公司扁平化管理，互联网弹性工作制，气氛融洽，感受创业团队的速度与激情；3、巨大的成长空间，有充足的机会接触到全球最新的智能硬件产品以及深入了解行业走向；4、公司包午餐，有加班餐，零食饮料，节假日福利等； "
786,"北京-海淀区  |  5-7年经验  |  大专  |  招若干人  |  11-01发布","
						1. 负责公司搜索推荐系统的设计、开发，确保项目质量和进度；2. 负责公司搜索推荐系统线上发布和问题定位；3. 不断深入研究搜索技术，推动技术不断升级，解决系统问题。任职要求1.统招大专及以上学历，计算机、数学等相关专业，五年以上相关工作经验；2. 编程基本功扎实，熟悉常用数据结构和算法，擅长Java编程语言，熟悉JVM机制；3. 精通Lucene/Solr，熟悉搜素引擎工作原理，有NLP或CBIR实践经验优先；4. 熟悉Linux操作系统，熟悉shell、python等脚本语言，有生产环境维护经验者优先；5. 学习能力较强，有较好的逻辑思维能力，较强的抽象、概括和总结能力，有较好的沟通交流能力，善于主动思考，对技术有强烈激情；6. 具有敏捷开发经验者优先，具有完整产品生命周期开发者优先。						
																		
						
						
					"
787,"北京  |  3-4年经验  |  本科  |  招3人  |  11-01发布","（1）负责质量/采购体系内各种问题的分析和具体解决方案的设计工作，用算法解决传统制造行业中存在的问题；（2） 积极和业务部门进行沟通，了解业务背景以及存在问题。任职资格:1.本科以上，计算机、数学、统计学、运筹学等相关专业，具有扎实的数据结构、数据库、统计学、机器学习算法基础，有较强的开发能力；2.两年算法建模、开发和调优经验。有过独立进行算法建模工作经验，并且能熟练使用分类、回归、聚类、决策树等算法来解决实际问题；3.熟练使用python、有Hadoop(MR)、Hive、Spark相关开发经验者优先；4.有实际解决过质量或生产供应链问题者经验者优先。"
788,"北京  |  无工作经验  |  本科  |  招5人  |  11-01发布","
						职位描述:1、利用机器学习技术，改进短视频的推荐系统，优化数亿用户的阅读体验；2、分析基础数据，挖掘用户兴趣、内容价值，增强推荐系统的预测能力。职位要求:1、热爱计算机科学和互联网技术，对人工智能类产品有浓厚兴趣； 2、具备强悍的编码能力，熟悉 linux 开发环境，熟悉 C++ 和 Python 语言优先； 3、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情 ；4、有扎实的数据结构和算法功底，熟悉机器学习、自然语言处理、数据挖掘中一项或多项； 5、对推荐系统、计算广告、搜索引擎相关技术有经验者优先； 6、本科及以上学历，计算机相关专业，19年毕业的同学优先，有相关实习经验的同学优先,实习时间3个月及以上，每周至少4天。						
																		
						
						
					"
789,"北京  |  无工作经验  |  硕士  |  招1人  |  11-01发布","
						职位描述:1、参与图片社区推荐系统的设计和实现；2、参与用户画像建立及挖掘等相关策略和算法的研发；3、深入理解用户行为，结合机器学习等技术，优化用户浏览体验。职位要求:1、计算机相关专业本科以上学历，研究生优先；2、具备强悍的编码能力，熟悉Linux平台上的C++/Python/Go编程语言；3、具备扎实的算法功底，了解常用的机器学习和数据挖掘算法；4、有机器学习/深度学习/NLP/文本挖掘/feed流等工程项目经验优先；5、至少实习3个月以上，有转正机会。						
																		
						
						
					"
790,"北京  |  无工作经验  |  本科  |  招2人  |  11-01发布","
						职位描述:1、参与头条产品的研发与测试过程：产品需求、功能设计，产品可测性设计与反馈；2、系统测试，性能测试，产品效果评估评测试等多方面，致力于产品的技术可靠性和用户体验。职位要求:1、非常热爱互联网及其相关技术；2、逻辑思考能力强，思维缜密，有责任心与时间观念；3、对软件测试领域，对发现、分析和解决问题有浓厚的兴趣；4、具有团队合作精神及良好的口头与书面的交流能力；5、精通C/C++或Java/C#/Perl/Python等程序设计语言；6、每周能保证4天实习时间，持续3个月以上。						
																		
						
						
					"
791,"北京  |  2年经验  |  本科  |  招5人  |  11-01发布","
						职位描述:1、高可用广告投放系统的设计与实现，承载高并发、低延迟的广告投放需求2、现有系统的工程优化和模块重构，优化工程架构，保障业务快速发展3、优化广告召回、排序、竞价、流量优选等核心策略的工程实现4、具有互联网广告投放系统开发经验者优先职位要求:1、具有扎实的数据结构和算法功底，编码能力强悍2、熟悉Linux操作系统和开发运营环境，熟练掌握C/C++，熟悉python/go/java更佳3、熟悉计算机和网络原理，熟悉操作系统原理，对存储、队列、计算、集群管理中的一项或多项有深入的理解和认识4、有较强的问题抽象能力，具备生产系统的分析和调试能力，系统调优能力强5、善于沟通，工作积极主动，责任心强，具备良好的团队协作能力6、熟悉计算广告，对商业变现领域有深刻了解者优先						
																		
						
						
					"
792,"北京  |  2年经验  |  本科  |  招3人  |  11-01发布","
						职位描述:1、负责搜索Spider系统的基础数据挖掘和核心技术研发2、负责互联网资源特征数据挖掘，包括页面特征、站点特征、页面价值度、热点变化趋势等3、负责链接的反垃圾，识别无价值链接，控制链接规模4、利用机器学习/深度学习算法建立模型，预估链接质量职位要求:1、计算机或相关专业，本科及以上学历，2年以上工作经验2、精通C/C++或python语言编程，熟悉linux平台、shell编程3、对数据结构和算法设计有较为深刻的理解4、熟悉搜索相关领域如：网页抓取/页面解析/信息挖掘/统计分析工作经验者优先5、有机器学习/深度学习经验者优先						
																		
						
						
					"
793,"北京  |  2年经验  |  本科  |  招2人  |  11-01发布","
						职位描述:1、根据产品需求进行系统、模块测试,包括测试设计、执行、BUG提交和追踪,测试报告等 2、调研、使用、开发测试工具和自动测试框架、自动测试脚本,进行自动化测试,提升测试效率 3、对项目开发流程和工具进行优化,提高RD和整个项目的交付效率,能够协助开发定位问题 4、为开发组开发和维护高效的持续集成、单元测试框架和工具,提高开发工作效率和提测代码质量,并参与代码评审  5、根据项目过程中的体验对产品提出改进建议以提升用户感受,对项目质量风险进行评估和把控,给出解决方案                   6、学习和研究新技术以提高测试的效率和质量,满足质量保证的需求职位要求:1、本科或以上学历，计算机软件、通讯相关专业优先                   2、1年及以上相关技术的开发或自动化测试经验 ，能熟练地应用一门或几门以下的技术进行工具开发：Java; Linux/Unix Shell编程；Perl/Python/PHP; 网络技术及相应的开发              3、具备良好的数据结构、算法基础                   4、有过后台服务测试经验的优先                   5、学习能力强，有较强分析、定位和解决问题的能力，具有较强逻辑思维能力和表达能力                   6、工作积极主动，有强烈责任心和严谨工作作风，积极思考，不断创新,良好的协作沟通能力和团队合作精神                   7、测试经验丰富或开发能力强加分                  8、有互联网工作经历加分						
																		
						
						
					"
794,"北京  |  2年经验  |  本科  |  招5人  |  11-01发布","
						职位描述:1、对产品风险相关维度进行数据监测和问题分析2、与业务、产品和技术等团队沟通协作，推动问题解决和产品优化3、挖掘完善风险相关指标，负责安全风险相关的指标监控，可以对风险问题及时预警职位要求:1、本科及以上学历，计算机、统计学、数学等相关专业2、3年以上互联网数据分析工作，熟练使用SPSS、R、python等数据分析工具之一,能熟练使用SQL/HiveQL语句3、对大数据、互联网、视频行业有一定的认知和理解4、思维严谨，逻辑性强，有强烈的责任心、沟通协调能力和团队合作精神；5、有信息安全类产品经验者优先						
																		
						
						
					"
795,"北京  |  2年经验  |  本科  |  招5人  |  11-01发布","
						职位描述:1、设计与实现高可用的golang系统，承载高并发、低延迟的广告投放需求2、实现与优化针对不同广告位置的投放策略，不断提高流量变现效率3、优化广告召回、排序、竞价、流量优选等核心策略4、基于广告的海量投放数据，完善用户/广告维度的投放监控系统，提供投放分析和优化工具5、具有互联网广告投放系统开发经验者优先职位要求:1、熟悉Linux平台上的python/golang/C++/java语言编程，对高并发处理有丰富的经验2、掌握分布式系统原理，对存储、队列、计算、集群管理中的一项或多项有深入的理解和认识3、熟悉计算机和网络原理，熟悉操作系统原理，对常用工作语言的基础库有着源码级别的熟悉程度4、抽象问题能力强，处理紧急事务思路清晰，具备生产系统快速 trouble-shooting 的经验和能力5、熟悉计算广告，对商业变现领域有深刻了解者优先						
																		
						
						
					"
796,"北京  |  5-7年经验  |  本科  |  招1人  |  11-01发布","
						职位描述:1、负责字节跳动旗下产品的测试和性能优化工作；2、负责项目进度和问题推进解决；3、测试环境配置及搭建，针对性进行接口验证、压力、稳定性等方面测试；4、较强的产品意识， 能在项目过程中提出并推送实施好的产品解决方案。职位要求:1、有良好的程序开发语言基础：Java/C++/Obj-C/Go；2、具备一门以上脚本语言开发能力：python/shell等；3、熟悉Android、iOS、服务端应用基本结构，生命周期管理，平台特性等；4、扎实的计算机基础， 熟悉网络， 数据库， 常用算法；5、具备一定管理经验。						
																		
						
						
					"
797,"北京  |  2年经验  |  本科  |  招2人  |  11-01发布","
						职位描述:1、负责短视频社区产品业务数据分析需求，建立业务数据模型；2、负责监控各业务线执行情况，通过数据分析发现产品运营中的问题，推进经营分析相关事项的落地；3、参与底层数据仓库建设及数据质量的校验，参与数据产品的设计及规范制定；4、结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。职位要求:1、本科及以上学历，数学、统计学相关专业优先，掌握扎实的统计学，数据挖掘理论基础；2、3年以上数据项目工作经验，具有数据平台搭建和优化经验，或数据仓库项目模型分析与设计工作经验；3、熟练使用SQL/Python/R/excel/Tableau等数据分析和统计分析工具；4、熟悉数据仓库标准管理、元数据管理、数据质量管理，对BI有较深入的理解；5、对技术和数据业务有很深的理解，成为公司业务和技术之间的关键桥梁；6、敏锐的公司产品相关行业技术发展趋势把握能力，和宏观分析判断决策能力；7、有海外工作经历，英语优秀者优先。						
																		
						
						
					"
798,"北京  |  3-4年经验  |  本科  |  招2人  |  11-01发布","
						职位描述:1、为公司的2B业务提供存储、消息队列等基础设施以及研发框架、监控报警和通用服务；2、设计合理的业务和技术架构方案，并推进技术规范的落地；3、研发基础服务组件，解决共性需求，减少重复开发；4、新技术研究和应用，并推动适合的技术应用于生产。职位要求:1、本科及以上学历，计算机、通信等相关专业；3年以上互联网公司基础架构建设经验2、熟练掌握Linux环境下的C/C++/Go/Python/Shell/PHP等1至2种以上语言；3、了解微服务架构的技术挑战，并有对应的解决方案；4、扎实的技术基础，熟悉性能、可用性、伸缩性、扩展性、安全性、运维监控、集成发布等；5、熟悉业务架构设计理论，熟悉行业常见的架构方案；6、积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有良好的团队沟通与协作能力；7、热爱编程，有较强的学习能力和抽象能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界***。						
																		
						
						
					"
799,"北京  |  无工作经验  |  本科  |  招5人  |  11-01发布","
						职位描述:1、负责懂车帝的后台业务研发；2、负责在线大流量高并发系统设计；3、主要实现语言为Python/Golang。职位要求:1、本科及以上学历，计算机、通信等相关专业；2、有扎实的编程能力，有优秀的设计和代码品味；3、深刻理解计算机原理，有良好的数据结构和算法基础；4、有较好的产品意识优先；5、积极乐观，责任心强，工作认真细致，有良好的团队沟通和协作能力；6、热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心，能及时关注和学习业界***。						
																		
						
						
					"
800,"北京  |  5-7年经验  |  本科  |  招1人  |  11-01发布","
						职位描述:1、负责带领团队，研发运维平台，提高运维效率，规范操作流程；2、负责运维开发体系规划、架构设计和项目定义；3、主导或参与系统设计、研发、部署等相关工作；4、新技术研究和应用，并推动适合的技术应用于生产；5、组织和实施持续优化。职位要求:1、本科或以上学历，计算机及相关专业，5年以上相关开发经验；2、有互联网相关运维自动化、监控系统、发布系统、运营支撑系统设计及开发经验；3、熟悉自动化运维工具如 ansible、puppet 等；对自动运维有较深刻的理解，有较长期的实践；4、掌握常用的运维开发语言 Php/Python/Perl 等语言，有相关语言的开发框架的使用经验有前端开发经验优先；5、熟悉并能熟练应用基础技术，如 memcache、redis、kafka 等；6、自驱力强；有较强的学习能力和良好的技术视野，快速学习和扩展；7、具备架构和规划能力，有良好的沟通能力和推动能力；有团队管理经验者优先。						
																		
						
						
					"
801,"北京  |  3-4年经验  |  本科  |  招2人  |  11-01发布","
						职位描述:1、根据不同的业务场景，构建业务指标体系，建立和完善日常业务报告体系，能够及时、准确、完整的披露公司整体及各项目的运作情况 ；2、参与数据仓库架构设计与数据开发，建设共享数据仓库 ；3.、通过专项分析，输出专项分析报告，为业务模块的决策和产品方向提供数据支持 ；4、参与数据底层的工具、平台、部署流程等技术体系建设的研发工作；职位要求:1、统招本科以上学历；2、熟悉数据仓库模型设计方法论，并有实际模型设计及ETL开发经验 ；3、掌握大型数据库开发技术，如Oracle、Teradata、DB2、Mysql等等掌握至少一种，灵活运用SQL实现海量数据ETL加工处理与查询性能调优；4、熟悉常用的数据挖掘、分析的工具和方法，有数据挖掘工作经验；熟悉linux平台，精通shell/c(c++)/php/python/等脚本语言的一种或多种，编码基本功扎实 ；5、具备快速学习能力、沟通协调能力及团队精神，有较强的责任心和学习积极性。						
																		
						
						
					"
802,"北京  |  3-4年经验  |  本科  |  招3人  |  11-01发布","（1）报表系统搭建；（2）业务系统数据抽取，清洗，建模； （3）ETL任务调度开发。任职资格:（1）本科以上学历, 2年以上大数据平台开发工作经验，并实际参与过数据集成或ETL开发；（2）可熟练使用kettle,SQL, 熟悉SAP,GP,Mysql,Hive,Impala等主流数据库；（3）熟悉python,kafaka,webservice接口开发等优先；（4）了解大数据框架，hadoop集群,了解如何编写hive自定义函数，hive调优等； （5）有较高的工作积极性和主动性。"
803,"北京-海淀区  |  3-4年经验  |  本科  |  招若干人  |  11-01发布","
						1.精准营销：分析互联网数字营销数据，基于大数据平台建模，提高营销的ROI2.用户画像：负责构建用户数据模型，挖掘用户群体属性、潜在种子用户以及用户偏好等信息3.评分模型：各种场景下的评分需求，访客价值评分、客户诊断评分、节目效果评分等等4.异常检测：能够对于数据异常，流量作弊情况进行及时预警职位要求：1.理解业务的定位、目标、业务问题的本质。喜欢折腾数据并从数据中发现价值2.具备数理统计、数据挖掘、机器学习或相关背景，善于用数据和算法解决实际问题3.3年以上数据挖掘经验，具备良好的逻辑思考能力和快速的学习能力4.熟悉python、java、R等语言，有使用科学计算第三方库或工具的经验						
																		
						
						
					"
804,"北京-朝阳区  |  3-4年经验  |  本科  |  招1人  |  11-01发布","工作职责1. 在线／离线，文本分析相关算法的设计以及优化;2. 基于大规模用户数据，对用户进行分类聚类，进行用户画像建立与分析;3. 基于大数据的话题热点的预测与分析;4. 负责媒体产品的海量数据挖掘和数据分析。任职要求1. 计算机、数学等相关专业，本科及以上学历;2. 三年及以上C／C++或者Java／Python编程经验，在数据结构、算法方面有扎实的基本功;3. 熟悉机器学习、大规模数据挖掘、自然语言处理，并具备相关经验;4. 有文本分析、推荐算法、搜索rank、广告策略等方面相关工作经验;5. 有回归／CTR预估相关工作经验者优先;6. 对机器学习模型有优化或者改进者优先;7. 具有良好沟通能力和团队合作能力。"
805,"北京-朝阳区  |  5-7年经验  |  本科  |  招1人  |  11-01发布","
						高级运维开发工程师【岗位职责】1、负责保障现有运维系统的稳定运行，并提升系统可靠性和可运维性；2、负责开发和维护部署脚本和运维系统平台，实现自动化部署和自动化运维；3、负责应用部署系统、环境配置系统、监控系统的开发、部署、升级与维护，建设高性能的运维平台；4、负责应用系统的日常监测于维护、故障处理、性能分析与优化；5、负责应用系统的相关文档的编写、运维信息统计等。 【岗位要求】1、计算机相关专业本科以上学历，5年以上工作经验；2、具备Python实际项目经验，熟练掌握Django、Tornado等任一Web开发框架；3、精通sed,grep,awk,vi等工具和命令；4、熟连使用监控系统，如ganglia、nagios、cacti、MRTG等的部署和应用；5、熟练配置Nginx、Tomcat、HAproxy、Lvs等应用相关软件的部署、配置与优化维护；6、熟练salt、puppet、ansible，jenkins对自动化运维和持续集成有深入了解和认知。7、熟练掌握shell；8、熟悉mysql，hadoop，redis,memcached的日常管理和性能优化；10、有AWS/腾讯云/阿里云等系统管理经验者优先；11、具有较强团队合作精神、良好的沟通能力和文档编写能力，熟悉系统和网络安全防范、监控经验者优先。						
																		
						
						
					"
806,"北京-海淀区  |  无工作经验  |  招1人  |  11-01发布","职位描述：1、对语音信号处理的相关算法进行研究，包括语音增强、回声消除、混响消除、自动增益控制、波达方向估计，波束形成等；2、针对产品实际情况对算法进行优化、测试，并将研究的算法应用于产品上；3、负责项目合作时的技术沟通；任职要求：1、数学、计算机、信号处理、通信工程相关专业硕士（博士）；2、精通信号处理技术（如语音增强、回声消除、阵列信号处理、自适应信号处理等）；3、精通C/C++，熟悉Java、linux、python等 ，能编程实现语音信号处理算法；具备以下开发经验者优先考虑：4、麦克风阵列信号处理技术；5、语音信号处理技术，进行过回声消除、语音增强等算法的研究和实现；6、进行过语音/音频处理算法在ARM等硬件平台上的开发、移植和优化。薪资福利：1、有机会获得持续股票期权激励，为未来留有充足的空间。2、公司扁平化管理，互联网弹性工作制，气氛融洽，感受创业团队的速度与激情；3、巨大的成长空间，有充足的机会接触到全球最新的智能硬件产品以及深入了解行业走向；4、公司包午餐，有加班餐，零食饮料，带薪年假，健身活动、定期体检，节日福利，生日福利，节假日福利等； "
807,"北京-海淀区  |  无工作经验  |  招2人  |  11-01发布","1、负责公司产品服务端应用核心业务模块设计、开发以及优化。2、负责公司产品服务端应用关键技术攻关。3、对线上环境出现的问题进行排查和调优。任职资格：1、3年以上Java服务器端开发经验，具有扎实的算法及数据结构功底；2、精通基于微服务的高并发、高性能的分布式系统的设计、应用及性能调优；3、熟练掌握Netty、Spring、Hibernate等开源技术框架，有Web服务开发和部署的经验，熟悉基于Tomcat的应用部署；4、熟练掌握Linux操作系统的使用和常见命令，至少熟悉Shell、Python其中一种；5、熟练掌握MySQL操作，精通SQL语句，理解并能够对SQL语句进行优化；6、有基于JUnit的单元测试经验。薪资福利：1、持续股票期权激励，为未来留有充足的空间；2、公司扁平化管理，互联网弹性工作制，气氛融洽，感受创业团队的速度与激情；3、巨大的成长空间，有充足的机会接触到全球最新的智能硬件产品以及深入了解行业走向；4、公司包午餐，有加班餐，零食饮料，节假日福利等。 "
808,"北京-海淀区  |  无工作经验  |  招若干人  |  11-01发布","1、参与或负责公司区块链底层共识技术的研发和系统架构设计，研究区块链常用共识算法协议与TEE的结合，并承担核心代码的编写;2、参与设计与实现区块链与TEE结合的去中心分布式架构，能方便的兼容实现公链、联盟链、私链多种架构；3、进行TEE相关技术的研究和工程化； 任职要求：1、  计算机相关专业包括物理、自动化、通讯等理工科专业，本科及以上3年以上后端大型服务开发经验；2、熟悉掌握的C/C++/Java/go/python中的一种开发语言；3、  熟悉常用TEE的相关技术如SGX、TrustZone等原理与实现；4、 熟悉 Linux 环境下的TEE底层驱动与应用研发；5、熟悉TrustZone的应用研发；"
